Tue Jan 16 09:07:54 2018    ikfast_profile.out

         1868569599 function calls (1790298646 primitive calls) in 746.066 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  968/234    0.003    0.000   10.895    0.047 expr.py:1247(could_extract_minus_sign)
  2467161    3.173    0.000    9.632    0.000 numbers.py:751(__eq__)
241986/215444    0.476    0.000    9.621    0.000 mul.py:961(fallback)
        5    0.006    0.001    8.804    1.761 ikfast.py:7429(PropagateSolvedConstants)
  4036306    4.536    0.000    8.337    0.000 operations.py:57(_new_rawargs)
 81105779    7.886    0.000    7.888    0.000 {hasattr}
113760527    7.430    0.000    7.430    0.000 {method 'append' of 'list' objects}
      619    0.004    0.000    7.118    0.011 polytools.py:5187(cancel)
  1553985    2.702    0.000    7.094    0.000 numbers.py:770(__ne__)
13135/613    0.017    0.000    6.687    0.011 euclidtools.py:1532(dmp_inner_gcd)
10076/582    0.010    0.000    6.589    0.011 euclidtools.py:1512(_dmp_inner_gcd)
11201/582    0.017    0.000    6.587    0.011 euclidtools.py:1273(dmp_zz_heu_gcd)
4282420/4236532    3.169    0.000    6.555    0.000 {hash}
  6744275    4.777    0.000    6.542    0.000 basic.py:399(__ne__)
     2015    0.007    0.000    6.350    0.003 matrices.py:2092(berkowitz_det)
     2015    0.108    0.000    6.268    0.003 matrices.py:2008(berkowitz)
    23762    0.014    0.000    6.165    0.000 densearith.py:1652(dmp_div)
      278    0.004    0.000    6.119    0.022 solvers.py:251(solve)
141131/23730    0.328    0.000    6.016    0.000 densearith.py:1386(dmp_rr_div)
547588/547586    0.397    0.000    5.953    0.000 expr.py:111(__div__)
      278    0.004    0.000    5.823    0.021 solvers.py:519(_solve)
11053/796    0.012    0.000    5.632    0.007 euclidtools.py:898(_dmp_rr_trivial_gcd)
 9792/769    0.019    0.000    5.630    0.007 euclidtools.py:942(_dmp_simplify_gcd)
42438837/42438770    5.608    0.000    5.610    0.000 {isinstance}
       26    0.004    0.000    5.437    0.209 ikfast.py:9808(solveSingleVariable)
   473420    3.678    0.000    5.390    0.000 compatibility.py:109(cmp_to_key)
238098/237024    0.124    0.000    5.016    0.000 expr.py:93(__mul__)
12647/1051    0.010    0.000    4.905    0.005 euclidtools.py:1580(dmp_gcd)
  1941903    1.680    0.000    4.903    0.000 mul.py:783(as_coeff_Mul)
   130468    0.323    0.000    4.755    0.000 matrices.py:77(__init__)
5019053/4212089    2.704    0.000    4.620    0.000 basic.py:374(__eq__)
 31396791    4.519    0.000    4.519    0.000 {method 'update' of 'dict' objects}
      488    0.003    0.000    4.504    0.009 polytools.py:3003(cancel)
      488    0.001    0.000    4.479    0.009 polyclasses.py:623(cancel)
      488    0.002    0.000    4.476    0.009 euclidtools.py:1814(dmp_cancel)
        1    0.000    0.000    4.412    4.412 ikfast.py:1831(writeIkSolver)
        1    0.000    0.000    4.412    4.412 ikfast_generator_cpp.py:230(generate)
        1    0.000    0.000    4.412    4.412 ikfast.py:12329(generate)
