Tue Jan 16 09:07:54 2018    ikfast_profile.out

         1868569599 function calls (1790298646 primitive calls) in 746.066 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
                                                                     236    0.001    0.030  polytools.py:3432(__eq__)
                                                                      32    0.000    0.004  polytools.py:3454(__ne__)
                                                                 1844394    1.805    1.817  sympify.py:23(sympify)
mul.py:540(_eval_expand_basic)                                -> 5843/5540    0.046    0.535  add.py:427(_eval_expand_basic)
                                                                 1649660    0.189    0.189  basic.py:622(func)
                                                                 1649660    0.206    0.206  basic.py:647(args)
                                                                 1649660    2.384    7.590  cache.py:74(wrapper)
                                                                 6065468    0.371    0.371  expr.py:1842(_eval_expand_basic)
                                                                   16378    0.031    0.062  function.py:407(_eval_expand_basic)
                                                               2263458/2262824    6.152   14.181  power.py:252(_eval_expand_basic)
                                                                 8351147    0.590    0.590  {hasattr}
                                                                 8351147    0.474    0.474  {method 'append' of 'list' objects}
power.py:488(_eval_expand_log)                                -> 273/265    0.002    0.033  add.py:477(_eval_expand_log)
                                                                 4546033    0.575    0.575  basic.py:622(func)
                                                                 4546033    0.504    0.504  basic.py:647(args)
                                                                 4546033    4.449   14.590  cache.py:74(wrapper)
                                                                 9091019    0.574    0.574  expr.py:1857(_eval_expand_log)
                                                                     774    0.002    0.003  function.py:467(_eval_expand_log)
                                                                 9092066    1.116    1.116  {hasattr}
                                                                 9092066    0.585    0.585  {method 'append' of 'list' objects}
power.py:252(_eval_expand_basic)                              -> 273/265    0.002    0.029  add.py:427(_eval_expand_basic)
                                                                 4546033    0.530    0.530  basic.py:622(func)
                                                                 4546033    0.472    0.472  basic.py:647(args)
                                                                 4546033    4.125   13.763  cache.py:74(wrapper)
                                                                 9091019    0.605    0.605  expr.py:1842(_eval_expand_basic)
                                                                     774    0.002    0.003  function.py:407(_eval_expand_basic)
                                                                 9092066    1.105    1.105  {hasattr}
                                                                 9092066    0.533    0.533  {method 'append' of 'list' objects}
{getattr}                                                     -> 244130/89129    0.063    0.899  assumptions.py:365(getit)
                                                                      21    0.000    0.000  expr.py:176(is_number)
                                                                      24    0.000    0.000  function.py:224(is_commutative)
                                                                     589    0.000    0.000  numbers.py:197(is_number)
                                                                     122    0.000    0.000  symbol.py:96(is_number)
polytools.py:139(_from_dict)                                  ->    3460    0.019   29.242  constructor.py:195(construct_domain)
                                                                     224    0.000    0.008  domain.py:69(convert)
                                                                    3680    0.005    0.068  polyclasses.py:251(from_dict)
                                                                    7360    0.006    0.006  polyoptions.py:60(getter)
                                                                    3680    0.005    0.011  polytools.py:100(new)
                                                                    3680    0.000    0.000  {len}
                                                                     220    0.000    0.000  {method 'iteritems' of 'dict' objects}
constructor.py:195(construct_domain)                          ->    3984    0.014    0.031  constructor.py:9(_construct_simple)
                                                                    1154    0.040   29.182  constructor.py:99(_construct_composite)
                                                                      20    0.000    0.000  constructor.py:186(_construct_expression)
                                                                    1154    0.001    0.001  polyoptions.py:60(getter)
                                                                    3984    0.002    0.003  polyoptions.py:689(build_options)
                                                                    7968    0.002    0.002  {hasattr}
                                                                    7968    0.001    0.001  {isinstance}
                                                                    3984    0.004    0.015  {map}
                                                                    3461    0.001    0.001  {method 'items' of 'dict' objects}
                                                                    6922    0.003    0.003  {zip}
constructor.py:99(_construct_composite)                       ->    1631    0.108   16.497  add.py:260(as_numer_denom)
                                                                      20    0.000    0.000  constructor.py:111(<genexpr>)
                                                                   24139    0.012    0.426  decorators.py:72(__sympifyit_wrapper)
                                                                    1134    0.004    0.020  domain.py:357(poly_ring)
                                                                      11    0.000    0.000  expr.py:1048(as_numer_denom)
                                                                     362    0.000    0.000  expr.py:2008(as_numer_denom)
                                                                     955    0.002    0.017  mul.py:775(as_numer_denom)
                                                                     232    0.000    0.000  numbers.py:907(as_numer_denom)
                                                                      21    0.000    0.000  numbers.py:1255(as_numer_denom)
                                                                    3166    0.003    1.087  polynomialring.py:38(__call__)
                                                                    1134    0.001    0.002  polyoptions.py:60(getter)
                                                                    1154    0.002   10.967  polyutils.py:258(parallel_dict_from_expr)
                                                                      16    0.000    0.000  power.py:616(as_numer_denom)
                                                                     697    0.000    0.000  pythonintegerring.py:27(from_sympy)
                                                                   23442    0.011    0.068  pythonrationalfield.py:26(from_sympy)
                                                                    1154    0.001    0.007  {any}
                                                                    5434    0.000    0.000  {len}
                                                                   24139    0.008    0.049  {method 'add' of 'set' objects}
                                                                    9622    0.001    0.001  {method 'append' of 'list' objects}
                                                                    6332    0.001    0.001  {method 'iteritems' of 'dict' objects}
                                                                    1134    0.001    0.001  {zip}
basic.py:179(__hash__)                                        ->      20    0.000    0.000  assume.py:117(_hashable_content)
                                                                 4217766    0.319    0.319  basic.py:204(_hashable_content)
                                                                   16257    0.003    0.003  numbers.py:328(_hashable_content)
                                                                   41051    0.007    0.007  numbers.py:638(_hashable_content)
                                                                     129    0.000    0.000  polytools.py:215(_hashable_content)
                                                                     485    0.000    0.000  symbol.py:69(_hashable_content)
                                                                     148    0.000    0.000  symbol.py:137(_hashable_content)
                                                                       6    0.000    0.000  symbol.py:175(_hashable_content)
                                                               4275862/4236268    3.167    6.555  {hash}
decorators.py:106(binary_op_wrapper)                          ->   69114    0.046   15.227  expr.py:75(__add__)
                                                                      91    0.000    0.001  expr.py:79(__radd__)
                                                                    3084    0.004    0.208  expr.py:84(__sub__)
                                                                    1587    0.001    0.013  expr.py:88(__rsub__)
                                                               238098/237024    0.124    5.016  expr.py:93(__mul__)
                                                                   16257    0.009    0.186  expr.py:97(__rmul__)
                                                               6754/6719    0.003    0.034  expr.py:102(__pow__)
                                                                       2    0.000    0.000  expr.py:106(__rpow__)
                                                               547588/547586    0.397    5.953  expr.py:111(__div__)
                                                                    1822    0.002    0.023  expr.py:115(__rdiv__)
                                                                  884397    0.084    0.084  {hasattr}
numbers.py:194(__hash__)                                      -> 58023703    6.594    6.611  basic.py:179(__hash__)
{method 'sort' of 'list' objects}                             ->       7    0.000    0.000  <string>:2(__eq__)
                                                                 1686238    0.812    3.960  basic.py:179(__hash__)
                                                                 2432766    0.335    0.335  compatibility.py:116(__init__)
                                                                 4023134    1.581   15.245  compatibility.py:118(__lt__)
                                                                       6    0.000    0.000  ctx_mp_python.py:177(__lt__)
                                                                      69    0.000    0.002  ikfast.py:1459(<lambda>)
                                                                      30    0.000    0.000  ikfast.py:6957(<lambda>)
                                                                       1    0.000    0.000  ikfast.py:7620(<lambda>)
                                                                      21    0.000    0.000  ikfast.py:7908(<lambda>)
                                                                      14    0.000    0.329  ikfast.py:9064(<lambda>)
                                                                       1    0.000    0.092  ikfast.py:9184(<lambda>)
                                                                     134    0.000    0.000  ikfast.py:9961(<lambda>)
                                                                      12    0.000    0.000  ikfast.py:10453(<lambda>)
                                                                      12    0.000    0.000  ikfast.py:10586(<lambda>)
                                                                      27    0.000    0.000  numbers.py:1760(__hash__)
                                                                       4    0.000    0.000  polynomials.py:182(<lambda>)
add.py:17(flatten)                                            -> 4138211    1.246    3.468  basic.py:179(__hash__)
                                                                  569343    0.290    0.368  basic.py:374(__eq__)
                                                                 1658313    0.140    0.140  basic.py:647(args)
                                                                   20005    0.032    0.192  cache.py:74(wrapper)
                                                                  189282    0.090    1.124  decorators.py:72(__sympifyit_wrapper)
                                                                    2002    0.003    0.005  function.py:224(is_commutative)
                                                                 1941096    1.679    4.902  mul.py:783(as_coeff_Mul)
                                                                   36711    0.026    0.086  numbers.py:1028(__add__)
                                                                     647    0.001    0.004  numbers.py:1035(__radd__)
                                                                     184    0.000    0.000  numbers.py:1760(__hash__)
                                                                 1632301    2.793    4.953  operations.py:57(_new_rawargs)
                                                                 1686265    0.099    0.099  {method 'append' of 'list' objects}
                                                                   26012    0.009    0.009  {method 'extend' of 'list' objects}
                                                                    5092    0.001    0.001  {method 'insert' of 'list' objects}
                                                                   38219    0.047    0.047  {method 'items' of 'dict' objects}
                                                                   38219    0.497    4.457  {method 'sort' of 'list' objects}
cache.py:96(<lambda>)                                         ->
ikfast.py:7499(SolveAllEquations)                             ->      11    0.000    0.002  __init__.py:1157(info)
                                                                     120    0.000    0.000  basic.py:374(__eq__)
                                                                      50    0.000    0.000  basic.py:399(__ne__)
                                                                     103    0.000    0.217  basic.py:719(subs)
                                                                     442    0.001    0.075  cache.py:74(wrapper)
                                                                      28    0.000    0.000  decorators.py:72(__sympifyit_wrapper)
                                                                      24    0.000    0.089  expr.py:1869(expand)
                                                                       1    0.000    0.000  ikfast.py:535(__init__)
                                                                      17    0.000    0.000  ikfast.py:700(_CheckPreemptFn)
                                                                       4    0.000    0.000  ikfast.py:949(IsHinge)
                                                                      16    0.000    0.000  ikfast.py:1183(getVariable)
                                                                      24    0.000    0.238  ikfast.py:1188(trigsimp_new)
                                                                      21    0.000    0.001  ikfast.py:1409(codeComplexity)
                                                                      11    0.000    0.001  ikfast.py:1456(sortComplexity)
                                                                      24    0.000    0.027  ikfast.py:1681(ComputeSolutionComplexity)
                                                                      80    0.000    1.066  ikfast.py:7379(CheckExpressionUnique)
                                                                    10/2    0.002   17.549  ikfast.py:7889(AddSolution)
                                                                      11    0.004    5.293  ikfast.py:9808(solveSingleVariable)
                                                                       4    0.000    0.000  ikfast.py:10365(SolvePrismaticHingePairVariables)
                                                                       3    0.002    1.277  ikfast.py:10422(SolvePairVariables)
                                                                      38    0.000    0.000  ikfast.py:11617(numsolutions)
                                                                      16    0.000    0.000  iterables.py:435(numbered_symbols)
                                                                       7    0.000    0.000  symbol.py:35(__new__)
                                                                      24    0.000    0.000  {all}
                                                                      11    0.000    0.000  {any}
                                                                     388    0.000    0.000  {len}
                                                                     108    0.000    0.000  {method 'append' of 'list' objects}
                                                                       7    0.000    0.001  {method 'join' of 'str' objects}
                                                                       5    0.000    0.000  {method 'sort' of 'list' objects}
                                                                      11    0.000    0.000  {method 'union' of 'set' objects}
ikfast.py:7889(AddSolution)                                   ->       8    0.000    0.001  __init__.py:1145(debug)
                                                                      31    0.000    0.144  __init__.py:1157(info)
                                                                       5    0.000    0.000  add.py:517(__neg__)
                                                                      23    0.000    0.000  basic.py:179(__hash__)
                                                                      41    0.000    0.000  basic.py:374(__eq__)
                                                                       5    0.000    0.000  basic.py:399(__ne__)
                                                                       8    0.000    0.000  basic.py:471(__repr__)
                                                                     154    0.000    0.111  basic.py:719(subs)
                                                                     546    0.001    0.048  cache.py:74(wrapper)
                                                                     257    0.000    0.004  decorators.py:72(__sympifyit_wrapper)
                                                                     331    0.001    0.011  evalf.py:983(evalf)
                                                                      24    0.000    0.000  expr.py:70(__neg__)
                                                                      12    0.000    0.000  expr.py:176(is_number)
                                                                      12    0.000    0.095  expr.py:1869(expand)
                                                                       1    0.000    0.000  ikfast.py:602(__init__)
                                                                       7    0.000    0.000  ikfast.py:605(Clone)
                                                                       4    0.000    0.000  ikfast.py:617(AddCases)
                                                                       7    0.000    0.000  ikfast.py:630(GetHandledConditions)
                                                                       5    0.000    0.000  ikfast.py:637(CheckCases)
                                                                      10    0.000    0.000  ikfast.py:700(_CheckPreemptFn)
                                                                      22    0.000    0.002  ikfast.py:720(ConvertRealToRationalEquation)
                                                                      28    0.000    0.000  ikfast.py:949(IsHinge)
                                                                     118    0.000    0.000  ikfast.py:1183(getVariable)
                                                                       5    0.000    0.000  ikfast.py:1226(SimplifyAtan2)
                                                                      31    0.000    0.000  ikfast.py:1409(codeComplexity)
                                                                      92    0.000    0.021  ikfast.py:7379(CheckExpressionUnique)
                                                                       5    0.006    8.804  ikfast.py:7429(PropagateSolvedConstants)
                                                                    15/3    0.001   17.010  ikfast.py:7499(SolveAllEquations)
                                                                      39    0.000    0.003  ikfast.py:7864(_SubstituteGlobalSymbols)
                                                                      23    0.000    0.000  ikfast.py:7877(_AddToGlobalSymbols)
                                                                       8    0.000    0.093  ikfast.py:9808(solveSingleVariable)
                                                                     201    0.001    0.040  ikfast.py:10856(isValidSolution)
                                                                       1    0.000    0.000  ikfast.py:10869(_GetSumSquares)
                                                                      11    0.000    0.005  ikfast.py:11104(AreAllImaginaryByEval)
                                                                       8    0.000    0.000  ikfast.py:11573(__init__)
                                                                      16    0.000    0.115  ikfast.py:11593(subs)
                                                                      35    0.000    0.000  ikfast.py:11617(numsolutions)
                                                                      24    0.000    0.011  ikfast.py:11627(checkValidSolution)
                                                                       8    0.000    0.000  ikfast.py:11643(GetZeroThreshold)
                                                                       2    0.000    0.000  ikfast.py:11950(__init__)
                                                                       8    0.000    0.000  ikfast.py:11977(__init__)
                                                                       7    0.000    0.000  ikfast.py:12151(__init__)
                                                                       6    0.000    0.000  iterables.py:435(numbered_symbols)
                                                                      35    0.000    0.000  matrices.py:227(__getitem__)
                                                                      20    0.000    0.001  miscellaneous.py:30(sqrt)
                                                                      10    0.000    0.000  numbers.py:197(is_number)
                                                                      40    0.000    0.000  numbers.py:396(__eq__)
                                                                       6    0.000    0.000  numbers.py:1056(__mul__)
                                                                       7    0.000    0.000  numbers.py:1084(__eq__)
                                                                      24    0.000    0.000  numbers.py:1508(__gt__)
                                                                      20    0.000    0.002  {abs}
                                                                      15    0.000    0.000  {all}
                                                                       6    0.000    0.000  {any}
                                                                      14    0.000    0.000  {built-in method from_iterable}
                                                                     159    0.000    0.000  {len}
                                                                       5    0.000    0.000  {method 'add' of 'set' objects}
                                                                     130    0.000    0.000  {method 'append' of 'list' objects}
                                                                      13    0.000    0.000  {method 'items' of 'dict' objects}
                                                                       9    0.000    0.002  {method 'join' of 'str' objects}
                                                                      10    0.000    0.000  {method 'remove' of 'list' objects}
                                                                      10    0.000    0.000  {method 'sort' of 'list' objects}
                                                                       5    0.000    0.000  {range}
add.py:260(as_numer_denom)                                    ->    2841    0.000    0.000  basic.py:647(args)
                                                                   37689    0.750   14.813  cache.py:74(wrapper)
                                                                     293    0.000    0.000  expr.py:2008(as_numer_denom)
                                                               31206/30510    0.127    2.260  mul.py:775(as_numer_denom)
                                                                     305    0.000    0.001  numbers.py:907(as_numer_denom)
                                                                     141    0.000    0.000  numbers.py:1255(as_numer_denom)
                                                                      62    0.000    0.001  power.py:616(as_numer_denom)
                                                                    2841    0.000    0.000  {len}
                                                                   64014    0.003    0.003  {method 'append' of 'list' objects}
ikfast.py:934(equal)                                          ->    1349    0.001    0.004  basic.py:374(__eq__)
                                                                    1521    0.001    0.153  decorators.py:72(__sympifyit_wrapper)
                                                                    1897    0.004   16.466  function.py:1108(expand)
                                                                     185    0.000    0.000  numbers.py:1042(__sub__)
                                                                     548    0.000    0.001  numbers.py:1084(__eq__)
                                                                     820    0.001    0.049  polytools.py:892(as_expr)
                                                                    3794    0.001    0.001  {isinstance}
function.py:1108(expand)                                      ->    2052    0.020   16.601  expr.py:1869(expand)
                                                                    2052    0.003    0.003  sympify.py:23(sympify)
ikfast.py:7379(CheckExpressionUnique)                         ->     317    0.002    0.038  add.py:517(__neg__)
                                                                      38    0.000    0.000  core.py:220(__cmp__)
                                                                      13    0.000    0.000  expr.py:70(__neg__)
                                                                      38    0.000    0.000  function.py:131(func)
                                                                     681    0.002   16.312  ikfast.py:934(equal)
                                                                       2    0.000    0.000  numbers.py:1349(__neg__)
polyutils.py:248(_dict_from_expr_if_gens)                     ->    3818    0.304   16.174  polyutils.py:130(_parallel_dict_from_expr_if_gens)
polyutils.py:130(_parallel_dict_from_expr_if_gens)            ->  132685    0.014    0.014  basic.py:179(__hash__)
                                                                      68    0.000    0.002  basic.py:475(__str__)
                                                                  132236    0.173    1.448  cache.py:74(wrapper)
                                                                   23040    0.017   14.211  decorators.py:72(__sympifyit_wrapper)
                                                                  123965    0.059    0.132  exprtools.py:13(decompose_power)
                                                                      18    0.000    0.000  numbers.py:1028(__add__)
                                                                   32916    0.017    0.025  operations.py:264(make_args)
                                                                  114592    0.027    0.027  polyoptions.py:60(getter)
                                                                    3818    0.000    0.000  {len}
                                                                  134085    0.011    0.011  {method 'append' of 'list' objects}
polytools.py:178(_from_poly)                                  ->     822    0.000    0.000  basic.py:179(__hash__)
                                                                      65    0.000    0.000  basic.py:374(__eq__)
                                                                     122    0.000    0.000  core.py:220(__cmp__)
                                                                     488    0.000    0.001  polyoptions.py:60(getter)
                                                                     106    0.000   15.856  polytools.py:205(_from_expr)
                                                                     106    0.000    0.173  polytools.py:892(as_expr)
power.py:334(_eval_expand_mul)                                ->      68    0.000    0.016  add.py:457(_eval_expand_mul)
                                                                 2283103    0.297    0.297  basic.py:622(func)
                                                                 2283103    0.256    0.256  basic.py:647(args)
                                                                 2283103    2.127    7.018  cache.py:74(wrapper)
                                                                 4565723    0.320    0.320  expr.py:1851(_eval_expand_mul)
                                                                     415    0.001    0.002  function.py:443(_eval_expand_mul)
                                                                 4566206    0.679    0.679  {hasattr}
                                                                 4566206    0.307    0.307  {method 'append' of 'list' objects}
ikfast.py:9622(checkFinalEquation)                            ->       1    0.000    0.000  __init__.py:1157(info)
                                                                      80    0.000    0.000  basic.py:374(__eq__)
                                                                     577    0.001    8.377  basic.py:719(subs)
                                                                      38    0.000    0.001  cache.py:74(wrapper)
                                                                      31    0.000    0.002  decorators.py:72(__sympifyit_wrapper)
                                                                    2134    0.007    2.458  evalf.py:983(evalf)
                                                                       1    0.000    0.000  ikfast.py:9599(checkFactorPmI)
                                                                      29    0.000    0.002  ikfast.py:10856(isValidSolution)
                                                                       4    0.014    2.947  ikfast.py:11147(removecommonexprs)
                                                                      29    0.000    0.000  numbers.py:197(is_number)
                                                                      18    0.000    0.000  numbers.py:396(__eq__)
                                                                      28    0.000    0.001  numbers.py:424(__lt__)
                                                                    2005    0.002    0.003  numbers.py:1084(__eq__)
                                                                       4    0.000    0.000  numbers.py:1105(__lt__)
                                                                      13    0.000    0.001  polynomials.py:9(polyval)
                                                                       1    0.000    0.004  polyroots.py:440(roots)
                                                                    1920    0.003    1.293  polytools.py:758(terms)
                                                                      48    0.000    0.000  polytools.py:1620(degree)
                                                                    2067    0.003    0.419  polytools.py:1678(LC)
                                                                      40    0.000    0.080  polytools.py:1701(TC)
                                                                      53    0.000    0.000  {all}
                                                                      14    0.000    0.000  {any}
                                                                    3819    0.000    0.000  {len}
                                                                       1    0.000    0.000  {method 'keys' of 'dict' objects}
                                                                      40    0.000    0.000  {min}
polyclasses.py:234(to_sympy_dict)                             ->   40719    0.342   11.131  densebasic.py:1014(dmp_to_dict)
                                                                      86    0.000    0.000  expressiondomain.py:114(to_sympy)
                                                                    2915    0.004    1.090  polynomialring.py:50(to_sympy)
                                                                    6622    0.003    0.005  pythonintegerring.py:23(to_sympy)
                                                                 1545872    0.959    3.013  pythonrationalfield.py:22(to_sympy)
                                                                       5    0.000    0.000  realdomain.py:120(to_sympy)
                                                                   40719    0.002    0.002  {method 'iteritems' of 'dict' objects}
simplify.py:1564(simplify)                                    ->      91    0.003    0.186  add.py:260(as_numer_denom)
                                                                      53    0.000    0.035  add.py:517(__neg__)
                                                                      20    0.000    0.000  basic.py:399(__ne__)
                                                                      16    0.000    0.038  basic.py:1085(match)
                                                                     417    0.001    0.054  cache.py:74(wrapper)
                                                                     108    0.000    0.043  decorators.py:72(__sympifyit_wrapper)
                                                                      27    0.000    0.001  expr.py:70(__neg__)
                                                                     139    0.001   10.871  expr.py:1247(could_extract_minus_sign)
                                                                     139    0.002    0.304  expr.py:1869(expand)
                                                                     278    0.022    0.191  function.py:1368(count_ops)
                                                                     108    0.000    0.073  mul.py:775(as_numer_denom)
                                                                      22    0.000    0.000  numbers.py:1015(__neg__)
                                                                      40    0.000    0.000  numbers.py:1091(__ne__)
                                                                      18    0.000    0.000  numbers.py:1393(__neg__)
                                                                     139    0.001    2.362  polytools.py:5187(cancel)
                                                                     139    0.000    0.266  rationaltools.py:6(together)
                                                                     278    0.004    0.860  simplify.py:1128(powsimp)
                                                                     169    0.000    0.000  sympify.py:23(sympify)
                                                                     616    0.000    0.000  {isinstance}
                                                                      16    0.000    0.000  {map}
compatibility.py:118(__lt__)                                  -> 4023134    4.684   13.664  basic.py:210(compare)
expr.py:75(__add__)                                           ->   69114    0.135   15.181  cache.py:74(wrapper)
basic.py:719(subs)                                            ->    2961    0.027   11.470  basic.py:769(_subs_list)
                                                                    1231    0.002    0.020  basic.py:789(_subs_dict)
                                                               105033/74195    0.177   13.952  cache.py:74(wrapper)
                                                                    2961    0.002    0.003  compatibility.py:11(iterable)
                                                                    4192    0.001    0.001  {isinstance}
                                                                  214258    0.010    0.010  {len}
basic.py:756(_subs_old_new)                                   -> 11744/11476    0.152   11.902  add.py:334(_eval_subs)
                                                                    5446    0.002    0.011  basic.py:1214(_eval_subs)
                                                                    1549    0.004    1.145  cse_opts.py:32(_eval_subs)
                                                                     656    0.001    0.011  function.py:135(_eval_subs)
                                                                     513    0.001    0.007  ikfast.py:333(Pow_eval_subs)
                                                                   26687    0.078    0.585  mul.py:952(_eval_subs)
                                                                      28    0.000    0.040  polytools.py:477(_eval_subs)
                                                                   93246    0.081    0.081  sympify.py:23(sympify)
basic.py:210(compare)                                         -> 1995834    0.194    0.194  basic.py:204(_hashable_content)
                                                               993599/993074    1.570    3.012  basic.py:210(compare)
                                                                       8    0.000    0.000  numbers.py:328(_hashable_content)
                                                                      66    0.000    0.000  numbers.py:638(_hashable_content)
                                                                 4856162    0.637    0.637  symbol.py:69(_hashable_content)
                                                                13299148    1.304    4.371  {cmp}
                                                                 5849800    0.706    0.706  {isinstance}
                                                                 6852070    0.318    0.318  {len}
                                                                 3421667    1.184    1.184  {zip}
sympify.py:23(sympify)                                        ->     340    0.000    0.000  compatibility.py:11(iterable)
                                                                    2955    0.003    0.007  containers.py:30(__new__)
                                                                      13    0.000    0.000  ctx_mp_python.py:143(__float__)
                                                                    3527    0.001    0.002  inspect.py:339(getmro)
                                                                      19    0.000    0.000  matrices.py:2836(_matrix_sympify)
                                                                     465    0.001    0.006  numbers.py:294(__new__)
                                                                   43579    0.015    0.015  numbers.py:989(__new__)
                                                                       4    0.000    0.000  numbers.py:1978(sympify_mpmath)
                                                                       1    0.000    0.000  six.py:184(find_module)
                                                                    9008    0.003    0.003  sympify.py:9(__init__)
                                                                    4085    0.003    0.003  sympify.py:23(sympify)
                                                                       1    0.000    0.005  sympy_parser.py:1(<module>)
                                                                     168    0.002    0.015  sympy_parser.py:90(parse_expr)
                                                                    6618    0.001    0.001  {isinstance}
add.py:334(_eval_subs)                                        ->    1049    0.000    0.000  basic.py:179(__hash__)
                                                                   49514    0.026    0.080  basic.py:374(__eq__)
                                                                   24923    0.002    0.002  basic.py:647(args)
                                                                   13468    0.004    0.025  basic.py:1214(_eval_subs)
                                                                   50044    0.099    1.160  cache.py:74(wrapper)
                                                                   24797    0.006    0.006  expr.py:1012(as_coeff_add)
                                                                     291    0.001    1.012  function.py:135(_eval_subs)
                                                                     646    0.002    0.076  ikfast.py:333(Pow_eval_subs)
                                                               216319/190977    0.688   10.767  mul.py:952(_eval_subs)
                                                                     363    0.000    0.001  numbers.py:396(__eq__)
                                                                      14    0.000    0.000  numbers.py:448(__hash__)
                                                                      24    0.000    0.000  numbers.py:1349(__neg__)
                                                                   24947    0.004    0.004  {isinstance}
                                                                     300    0.000    0.000  {len}
polyutils.py:263(_parallel_dict_from_expr)                    ->    7498    0.056   11.778  expr.py:1869(expand)
                                                                    3350    0.006    0.006  polyoptions.py:60(getter)
                                                                    1675    0.002    0.003  polyoptions.py:177(clone)
                                                                    1675    0.182    0.607  polyutils.py:173(_parallel_dict_from_expr_no_gens)
                                                                    1675    0.002    0.004  {any}
expr.py:1062(extract_multiplicatively)                        ->  226528    0.046    0.049  assumptions.py:365(getit)
                                                                   89631    0.043    0.126  basic.py:374(__eq__)
                                                                    2688    0.003    0.009  basic.py:399(__ne__)
                                                                 1248347    0.109    0.109  basic.py:647(args)
                                                                     118    0.000    0.001  cache.py:74(wrapper)
                                                                  511384    0.236    6.281  decorators.py:72(__sympifyit_wrapper)
                                                               506064/7253    1.706   12.076  expr.py:1062(extract_multiplicatively)
